 [x] Sent b'[2/20/2023 8:58, 88.0]' on route-C
 [x] Sent b'[2/20/2023 11:46, 90.0]' on route-C
 [x] Sent b'[2/20/2023 11:47, 127.0]' on route-B
 [x] Sent b'[2/20/2023 11:47, 126.0]' on route-C
 [x] Sent b'[2/20/2023 11:47, 110.0]' on route-A
 [x] Sent b'[2/20/2023 11:47, 104.0]' on route-B
 [x] Sent b'[2/20/2023 11:47, 106.0]' on route-A
 [x] Sent b'[2/20/2023 11:48, 111.0]' on route-A
 [x] Sent b'[2/20/2023 11:48, 92.0]' on route-C
 [x] Sent b'[2/20/2023 11:48, 121.0]' on route-A
 [x] Sent b'[2/20/2023 11:48, 124.0]' on route-B
 [x] Sent b'[2/20/2023 11:48, 107.0]' on route-C
 [x] Sent b'[2/20/2023 11:48, 95.0]' on route-A
 [x] Sent b'[2/20/2023 11:48, 103.0]' on route-B
 [x] Sent b'[2/20/2023 11:48, 100.0]' on route-C
 [x] Sent b'[2/20/2023 11:49, 122.0]' on route-A
 [x] Sent b'[2/20/2023 11:49, 110.0]' on route-B
 [x] Sent b'[2/20/2023 11:49, 90.0]' on route-C
 [x] Sent b'[2/20/2023 11:49, 118.0]' on route-A
 [x] Sent b'[2/20/2023 11:49, 119.0]' on route-B
 [x] Sent b'[2/20/2023 11:49, 104.0]' on route-C
 [x] Sent b'[2/20/2023 11:49, 127.0]' on route-A
 [x] Sent b'[2/20/2023 11:49, 101.0]' on route-B
 [x] Sent b'[2/20/2023 11:49, 88.0]' on route-C
 [x] Sent b'[2/20/2023 11:50, 92.0]' on route-A
 [x] Sent b'[2/20/2023 11:50, 87.0]' on route-B
 [x] Sent b'[2/20/2023 11:50, 105.0]' on route-C
 [x] Sent b'[2/20/2023 11:50, 93.0]' on route-A
 [x] Sent b'[2/20/2023 11:50, 90.0]' on route-C
 [x] Sent b'[2/20/2023 11:50, 108.0]' on route-A
 [x] Sent b'[2/20/2023 11:50, 120.0]' on route-B
 [x] Sent b'[2/20/2023 11:51, 122.0]' on route-B
 [x] Sent b'[2/20/2023 11:51, 86.0]' on route-A
 [x] Sent b'[2/20/2023 11:51, 103.0]' on route-B
 [x] Sent b'[2/20/2023 11:51, 99.0]' on route-A
 [x] Sent b'[2/20/2023 11:51, 114.0]' on route-B
 [x] Sent b'[2/20/2023 11:51, 113.0]' on route-C
 [x] Sent b'[2/20/2023 11:52, 103.0]' on route-A
 [x] Sent b'[2/20/2023 11:52, 103.0]' on route-B
 [x] Sent b'[2/20/2023 11:52, 122.0]' on route-C
 [x] Sent b'[2/20/2023 11:52, 103.0]' on route-A
 [x] Sent b'[2/20/2023 11:52, 94.0]' on route-B
 [x] Sent b'[2/20/2023 11:52, 100.0]' on route-C
 [x] Sent b'[2/20/2023 11:52, 127.0]' on route-A
 [x] Sent b'[2/20/2023 11:52, 98.0]' on route-B
 [x] Sent b'[2/20/2023 11:52, 95.0]' on route-C
 [x] Sent b'[2/20/2023 11:53, 130.0]' on route-A
 [x] Sent b'[2/20/2023 11:53, 112.0]' on route-B
 [x] Sent b'[2/20/2023 11:53, 126.0]' on route-C
 [x] Sent b'[2/20/2023 11:53, 109.0]' on route-A
 [x] Sent b'[2/20/2023 11:53, 119.0]' on route-B
 [x] Sent b'[2/20/2023 11:53, 114.0]' on route-C
 [x] Sent b'[2/20/2023 11:53, 98.0]' on route-A
 [x] Sent b'[2/20/2023 11:53, 122.0]' on route-B
 [x] Sent b'[2/20/2023 11:53, 89.0]' on route-C
 [x] Sent b'[2/20/2023 11:54, 127.0]' on route-A
 [x] Sent b'[2/20/2023 11:54, 124.0]' on route-B
 [x] Sent b'[2/20/2023 11:54, 114.0]' on route-C
 [x] Sent b'[2/20/2023 11:54, 85.0]' on route-A
 [x] Sent b'[2/20/2023 11:54, 130.0]' on route-B
 [x] Sent b'[2/20/2023 11:54, 91.0]' on route-C
 [x] Sent b'[2/20/2023 11:54, 124.0]' on route-A
 [x] Sent b'[2/20/2023 11:54, 124.0]' on route-B
 [x] Sent b'[2/20/2023 11:54, 95.0]' on route-C
 [x] Sent b'[2/20/2023 11:55, 90.0]' on route-A
 [x] Sent b'[2/20/2023 11:55, 93.0]' on route-B
 [x] Sent b'[2/20/2023 11:55, 92.0]' on route-C
 [x] Sent b'[2/20/2023 11:55, 85.0]' on route-A
 [x] Sent b'[2/20/2023 11:55, 128.0]' on route-B
 [x] Sent b'[2/20/2023 11:55, 91.0]' on route-C
 [x] Sent b'[2/20/2023 11:55, 110.0]' on route-A
 [x] Sent b'[2/20/2023 11:55, 109.0]' on route-B
 [x] Sent b'[2/20/2023 11:55, 96.0]' on route-C
 [x] Sent b'[2/20/2023 11:56, 88.0]' on route-A
 [x] Sent b'[2/20/2023 11:56, 98.0]' on route-B
 [x] Sent b'[2/20/2023 11:56, 115.0]' on route-C
 [x] Sent b'[2/20/2023 11:56, 125.0]' on route-A
 [x] Sent b'[2/20/2023 11:56, 120.0]' on route-B
 [x] Sent b'[2/20/2023 11:56, 103.0]' on route-C
 [x] Sent b'[2/20/2023 11:56, 120.0]' on route-A
 [x] Sent b'[2/20/2023 11:56, 106.0]' on route-B
 [x] Sent b'[2/20/2023 11:56, 130.0]' on route-C
 [x] Sent b'[2/20/2023 11:57, 110.0]' on route-A
 [x] Sent b'[2/20/2023 11:57, 101.0]' on route-B
 [x] Sent b'[2/20/2023 11:57, 109.0]' on route-C
 [x] Sent b'[2/20/2023 11:57, 103.0]' on route-A
 [x] Sent b'[2/20/2023 11:57, 97.0]' on route-B
 [x] Sent b'[2/20/2023 11:57, 101.0]' on route-C
 [x] Sent b'[2/20/2023 11:57, 88.0]' on route-A
 [x] Sent b'[2/20/2023 11:57, 105.0]' on route-B
 [x] Sent b'[2/20/2023 11:57, 127.0]' on route-C
 [x] Sent b'[2/20/2023 11:58, 95.0]' on route-A
 [x] Sent b'[2/20/2023 11:58, 118.0]' on route-B
 [x] Sent b'[2/20/2023 11:58, 125.0]' on route-C
 [x] Sent b'[2/20/2023 11:58, 94.0]' on route-A
 [x] Sent b'[2/20/2023 11:58, 110.0]' on route-B
 [x] Sent b'[2/20/2023 11:58, 116.0]' on route-C
 [x] Sent b'[2/20/2023 11:58, 121.0]' on route-A
 [x] Sent b'[2/20/2023 11:58, 129.0]' on route-B
 [x] Sent b'[2/20/2023 11:58, 118.0]' on route-C
 [x] Sent b'[2/20/2023 11:59, 103.0]' on route-A
 [x] Sent b'[2/20/2023 11:59, 130.0]' on route-B
 [x] Sent b'[2/20/2023 11:59, 89.0]' on route-C
 [x] Sent b'[2/20/2023 11:59, 118.0]' on route-A
 [x] Sent b'[2/20/2023 11:59, 119.0]' on route-B
 [x] Sent b'[2/20/2023 11:59, 102.0]' on route-C
 [x] Sent b'[2/20/2023 11:59, 112.0]' on route-A
 [x] Sent b'[2/20/2023 11:59, 126.0]' on route-B
 [x] Sent b'[2/20/2023 11:59, 107.0]' on route-C
 [x] Sent b'[2/20/2023 12:00, 103.0]' on route-A
 [x] Sent b'[2/20/2023 12:00, 113.0]' on route-B
 [x] Sent b'[2/20/2023 12:00, 97.0]' on route-C
 [x] Sent b'[2/20/2023 12:00, 116.0]' on route-A
 [x] Sent b'[2/20/2023 12:00, 90.0]' on route-B
 [x] Sent b'[2/20/2023 12:00, 128.0]' on route-C
 [x] Sent b'[2/20/2023 12:00, 120.0]' on route-A
 [x] Sent b'[2/20/2023 12:00, 127.0]' on route-B
 [x] Sent b'[2/20/2023 12:00, 98.0]' on route-C
 [x] Sent b'[2/20/2023 12:01, 97.0]' on route-A
 [x] Sent b'[2/20/2023 12:01, 109.0]' on route-B
 [x] Sent b'[2/20/2023 12:01, 106.0]' on route-C
 [x] Sent b'[2/20/2023 12:01, 99.0]' on route-A
 [x] Sent b'[2/20/2023 12:01, 99.0]' on route-B
 [x] Sent b'[2/20/2023 12:01, 121.0]' on route-C
 [x] Sent b'[2/20/2023 12:01, 94.0]' on route-A
 [x] Sent b'[2/20/2023 12:01, 92.0]' on route-B
 [x] Sent b'[2/20/2023 12:01, 122.0]' on route-C
 [x] Sent b'[2/20/2023 12:02, 119.0]' on route-A
 [x] Sent b'[2/20/2023 12:02, 124.0]' on route-B
 [x] Sent b'[2/20/2023 12:02, 127.0]' on route-C
 [x] Sent b'[2/20/2023 12:02, 102.0]' on route-A
 [x] Sent b'[2/20/2023 12:02, 99.0]' on route-B
 [x] Sent b'[2/20/2023 12:02, 122.0]' on route-C
 [x] Sent b'[2/20/2023 12:02, 100.0]' on route-A
 [x] Sent b'[2/20/2023 12:02, 128.0]' on route-B
 [x] Sent b'[2/20/2023 12:02, 85.0]' on route-C
 [x] Sent b'[2/20/2023 12:03, 87.0]' on route-A
 [x] Sent b'[2/20/2023 12:03, 95.0]' on route-B
 [x] Sent b'[2/20/2023 12:03, 116.0]' on route-C
 [x] Sent b'[2/20/2023 12:03, 126.0]' on route-A
 [x] Sent b'[2/20/2023 12:03, 99.0]' on route-B
 [x] Sent b'[2/20/2023 12:03, 127.0]' on route-C
 [x] Sent b'[2/20/2023 12:03, 109.0]' on route-A
 [x] Sent b'[2/20/2023 12:03, 90.0]' on route-B
 [x] Sent b'[2/20/2023 12:03, 107.0]' on route-C
 [x] Sent b'[2/20/2023 12:04, 106.0]' on route-A
 [x] Sent b'[2/20/2023 12:04, 123.0]' on route-B
 [x] Sent b'[2/20/2023 12:04, 121.0]' on route-C
 [x] Sent b'[2/20/2023 12:04, 120.0]' on route-A
 [x] Sent b'[2/20/2023 12:04, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:04, 99.0]' on route-C
 [x] Sent b'[2/20/2023 12:04, 89.0]' on route-A
 [x] Sent b'[2/20/2023 12:04, 123.0]' on route-B
 [x] Sent b'[2/20/2023 12:04, 105.0]' on route-C
 [x] Sent b'[2/20/2023 12:05, 104.0]' on route-A
 [x] Sent b'[2/20/2023 12:05, 104.0]' on route-B
 [x] Sent b'[2/20/2023 12:05, 89.0]' on route-C
 [x] Sent b'[2/20/2023 12:05, 113.0]' on route-A
 [x] Sent b'[2/20/2023 12:05, 107.0]' on route-B
 [x] Sent b'[2/20/2023 12:05, 125.0]' on route-C
 [x] Sent b'[2/20/2023 12:05, 118.0]' on route-A
 [x] Sent b'[2/20/2023 12:05, 120.0]' on route-B
 [x] Sent b'[2/20/2023 12:05, 95.0]' on route-C
 [x] Sent b'[2/20/2023 12:06, 114.0]' on route-A
 [x] Sent b'[2/20/2023 12:06, 107.0]' on route-B
 [x] Sent b'[2/20/2023 12:06, 109.0]' on route-C
 [x] Sent b'[2/20/2023 12:06, 92.0]' on route-A
 [x] Sent b'[2/20/2023 12:06, 126.0]' on route-B
 [x] Sent b'[2/20/2023 12:06, 95.0]' on route-C
 [x] Sent b'[2/20/2023 12:06, 97.0]' on route-A
 [x] Sent b'[2/20/2023 12:06, 112.0]' on route-B
 [x] Sent b'[2/20/2023 12:06, 108.0]' on route-C
 [x] Sent b'[2/20/2023 12:07, 125.0]' on route-A
 [x] Sent b'[2/20/2023 12:07, 85.0]' on route-B
 [x] Sent b'[2/20/2023 12:07, 101.0]' on route-C
 [x] Sent b'[2/20/2023 12:07, 125.0]' on route-A
 [x] Sent b'[2/20/2023 12:07, 106.0]' on route-B
 [x] Sent b'[2/20/2023 12:07, 108.0]' on route-C
 [x] Sent b'[2/20/2023 12:07, 106.0]' on route-A
 [x] Sent b'[2/20/2023 12:07, 126.0]' on route-B
 [x] Sent b'[2/20/2023 12:07, 94.0]' on route-C
 [x] Sent b'[2/20/2023 12:08, 103.0]' on route-A
 [x] Sent b'[2/20/2023 12:08, 118.0]' on route-B
 [x] Sent b'[2/20/2023 12:08, 95.0]' on route-C
 [x] Sent b'[2/20/2023 12:08, 86.0]' on route-A
 [x] Sent b'[2/20/2023 12:08, 117.0]' on route-B
 [x] Sent b'[2/20/2023 12:08, 97.0]' on route-C
 [x] Sent b'[2/20/2023 12:08, 111.0]' on route-A
 [x] Sent b'[2/20/2023 12:08, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:08, 96.0]' on route-C
 [x] Sent b'[2/20/2023 12:09, 116.0]' on route-A
 [x] Sent b'[2/20/2023 12:09, 111.0]' on route-B
 [x] Sent b'[2/20/2023 12:09, 118.0]' on route-C
 [x] Sent b'[2/20/2023 12:09, 124.0]' on route-A
 [x] Sent b'[2/20/2023 12:09, 87.0]' on route-B
 [x] Sent b'[2/20/2023 12:09, 89.0]' on route-C
 [x] Sent b'[2/20/2023 12:09, 115.0]' on route-A
 [x] Sent b'[2/20/2023 12:09, 129.0]' on route-B
 [x] Sent b'[2/20/2023 12:09, 111.0]' on route-C
 [x] Sent b'[2/20/2023 12:10, 102.0]' on route-A
 [x] Sent b'[2/20/2023 12:10, 120.0]' on route-B
 [x] Sent b'[2/20/2023 12:10, 92.0]' on route-C
 [x] Sent b'[2/20/2023 12:10, 109.0]' on route-A
 [x] Sent b'[2/20/2023 12:10, 101.0]' on route-B
 [x] Sent b'[2/20/2023 12:10, 104.0]' on route-C
 [x] Sent b'[2/20/2023 12:10, 86.0]' on route-A
 [x] Sent b'[2/20/2023 12:10, 122.0]' on route-B
 [x] Sent b'[2/20/2023 12:10, 103.0]' on route-C
 [x] Sent b'[2/20/2023 12:11, 103.0]' on route-C
 [x] Sent b'[2/20/2023 12:11, 109.0]' on route-C
 [x] Sent b'[2/20/2023 12:11, 100.0]' on route-C
 [x] Sent b'[2/20/2023 12:12, 91.0]' on route-A
 [x] Sent b'[2/20/2023 12:12, 125.0]' on route-B
 [x] Sent b'[2/20/2023 12:12, 122.0]' on route-C
 [x] Sent b'[2/20/2023 12:12, 90.0]' on route-A
 [x] Sent b'[2/20/2023 12:12, 100.0]' on route-B
 [x] Sent b'[2/20/2023 12:12, 115.0]' on route-C
 [x] Sent b'[2/20/2023 12:12, 117.0]' on route-A
 [x] Sent b'[2/20/2023 12:12, 99.0]' on route-B
 [x] Sent b'[2/20/2023 12:12, 89.0]' on route-C
 [x] Sent b'[2/20/2023 12:13, 104.0]' on route-A
 [x] Sent b'[2/20/2023 12:13, 101.0]' on route-B
 [x] Sent b'[2/20/2023 12:13, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:13, 125.0]' on route-A
 [x] Sent b'[2/20/2023 12:13, 101.0]' on route-B
 [x] Sent b'[2/20/2023 12:13, 112.0]' on route-C
 [x] Sent b'[2/20/2023 12:13, 114.0]' on route-A
 [x] Sent b'[2/20/2023 12:13, 115.0]' on route-B
 [x] Sent b'[2/20/2023 12:14, 93.0]' on route-A
 [x] Sent b'[2/20/2023 12:14, 97.0]' on route-B
 [x] Sent b'[2/20/2023 12:14, 94.0]' on route-C
 [x] Sent b'[2/20/2023 12:14, 106.0]' on route-A
 [x] Sent b'[2/20/2023 12:14, 89.0]' on route-B
 [x] Sent b'[2/20/2023 12:14, 112.0]' on route-C
 [x] Sent b'[2/20/2023 12:14, 109.0]' on route-A
 [x] Sent b'[2/20/2023 12:14, 93.0]' on route-B
 [x] Sent b'[2/20/2023 12:14, 97.0]' on route-C
 [x] Sent b'[2/20/2023 12:15, 95.0]' on route-A
 [x] Sent b'[2/20/2023 12:15, 87.0]' on route-B
 [x] Sent b'[2/20/2023 12:15, 96.0]' on route-C
 [x] Sent b'[2/20/2023 12:15, 98.0]' on route-A
 [x] Sent b'[2/20/2023 12:15, 117.0]' on route-B
 [x] Sent b'[2/20/2023 12:15, 105.0]' on route-C
 [x] Sent b'[2/20/2023 12:15, 113.0]' on route-A
 [x] Sent b'[2/20/2023 12:15, 118.0]' on route-B
 [x] Sent b'[2/20/2023 12:15, 97.0]' on route-C
 [x] Sent b'[2/20/2023 12:16, 124.0]' on route-A
 [x] Sent b'[2/20/2023 12:16, 89.0]' on route-B
 [x] Sent b'[2/20/2023 12:16, 130.0]' on route-C
 [x] Sent b'[2/20/2023 12:16, 90.0]' on route-A
 [x] Sent b'[2/20/2023 12:16, 99.0]' on route-B
 [x] Sent b'[2/20/2023 12:16, 112.0]' on route-C
 [x] Sent b'[2/20/2023 12:16, 116.0]' on route-A
 [x] Sent b'[2/20/2023 12:16, 100.0]' on route-C
 [x] Sent b'[2/20/2023 12:17, 96.0]' on route-A
 [x] Sent b'[2/20/2023 12:17, 118.0]' on route-C
 [x] Sent b'[2/20/2023 12:17, 91.0]' on route-A
 [x] Sent b'[2/20/2023 12:17, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:17, 118.0]' on route-A
 [x] Sent b'[2/20/2023 12:17, 94.0]' on route-B
 [x] Sent b'[2/20/2023 12:17, 114.0]' on route-C
 [x] Sent b'[2/20/2023 12:18, 98.0]' on route-A
 [x] Sent b'[2/20/2023 12:18, 113.0]' on route-B
 [x] Sent b'[2/20/2023 12:18, 102.0]' on route-C
 [x] Sent b'[2/20/2023 12:18, 116.0]' on route-A
 [x] Sent b'[2/20/2023 12:18, 121.0]' on route-B
 [x] Sent b'[2/20/2023 12:18, 90.0]' on route-C
 [x] Sent b'[2/20/2023 12:18, 105.0]' on route-A
 [x] Sent b'[2/20/2023 12:18, 103.0]' on route-B
 [x] Sent b'[2/20/2023 12:18, 110.0]' on route-C
 [x] Sent b'[2/20/2023 12:19, 88.0]' on route-A
 [x] Sent b'[2/20/2023 12:19, 112.0]' on route-B
 [x] Sent b'[2/20/2023 12:19, 107.0]' on route-C
 [x] Sent b'[2/20/2023 12:19, 129.0]' on route-A
 [x] Sent b'[2/20/2023 12:19, 122.0]' on route-B
 [x] Sent b'[2/20/2023 12:19, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:19, 114.0]' on route-A
 [x] Sent b'[2/20/2023 12:19, 125.0]' on route-B
 [x] Sent b'[2/20/2023 12:19, 128.0]' on route-C
 [x] Sent b'[2/20/2023 12:20, 116.0]' on route-A
 [x] Sent b'[2/20/2023 12:20, 125.0]' on route-B
 [x] Sent b'[2/20/2023 12:20, 93.0]' on route-C
 [x] Sent b'[2/20/2023 12:20, 116.0]' on route-A
 [x] Sent b'[2/20/2023 12:20, 121.0]' on route-B
 [x] Sent b'[2/20/2023 12:20, 101.0]' on route-C
 [x] Sent b'[2/20/2023 12:20, 111.0]' on route-A
 [x] Sent b'[2/20/2023 12:20, 94.0]' on route-B
 [x] Sent b'[2/20/2023 12:20, 130.0]' on route-C
 [x] Sent b'[2/20/2023 12:21, 129.0]' on route-A
 [x] Sent b'[2/20/2023 12:21, 111.0]' on route-B
 [x] Sent b'[2/20/2023 12:21, 87.0]' on route-C
 [x] Sent b'[2/20/2023 12:21, 120.0]' on route-A
 [x] Sent b'[2/20/2023 12:21, 85.0]' on route-B
 [x] Sent b'[2/20/2023 12:21, 113.0]' on route-C
 [x] Sent b'[2/20/2023 12:21, 92.0]' on route-A
 [x] Sent b'[2/20/2023 12:21, 97.0]' on route-B
 [x] Sent b'[2/20/2023 12:21, 118.0]' on route-C
 [x] Sent b'[2/20/2023 12:22, 85.0]' on route-A
 [x] Sent b'[2/20/2023 12:22, 115.0]' on route-B
 [x] Sent b'[2/20/2023 12:22, 86.0]' on route-C
 [x] Sent b'[2/20/2023 12:22, 127.0]' on route-A
 [x] Sent b'[2/20/2023 12:22, 120.0]' on route-B
 [x] Sent b'[2/20/2023 12:22, 111.0]' on route-C
 [x] Sent b'[2/20/2023 12:22, 102.0]' on route-A
 [x] Sent b'[2/20/2023 12:22, 93.0]' on route-B
 [x] Sent b'[2/20/2023 12:22, 93.0]' on route-C
 [x] Sent b'[2/20/2023 12:23, 87.0]' on route-A
 [x] Sent b'[2/20/2023 12:23, 112.0]' on route-B
 [x] Sent b'[2/20/2023 12:23, 112.0]' on route-C
 [x] Sent b'[2/20/2023 12:23, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:23, 106.0]' on route-C
 [x] Sent b'[2/20/2023 12:23, 121.0]' on route-A
 [x] Sent b'[2/20/2023 12:23, 127.0]' on route-B
 [x] Sent b'[2/20/2023 12:23, 91.0]' on route-C
 [x] Sent b'[2/20/2023 12:24, 103.0]' on route-A
 [x] Sent b'[2/20/2023 12:24, 126.0]' on route-B
 [x] Sent b'[2/20/2023 12:24, 107.0]' on route-C
 [x] Sent b'[2/20/2023 12:24, 106.0]' on route-A
 [x] Sent b'[2/20/2023 12:24, 107.0]' on route-B
 [x] Sent b'[2/20/2023 12:24, 89.0]' on route-C
 [x] Sent b'[2/20/2023 12:24, 110.0]' on route-A
 [x] Sent b'[2/20/2023 12:24, 92.0]' on route-B
 [x] Sent b'[2/20/2023 12:24, 97.0]' on route-C
 [x] Sent b'[2/20/2023 12:25, 102.0]' on route-A
 [x] Sent b'[2/20/2023 12:25, 107.0]' on route-B
 [x] Sent b'[2/20/2023 12:25, 99.0]' on route-C
 [x] Sent b'[2/20/2023 12:25, 108.0]' on route-A
 [x] Sent b'[2/20/2023 12:25, 118.0]' on route-B
 [x] Sent b'[2/20/2023 12:25, 90.0]' on route-C
 [x] Sent b'[2/20/2023 12:25, 112.0]' on route-A
 [x] Sent b'[2/20/2023 12:25, 125.0]' on route-B
 [x] Sent b'[2/20/2023 12:25, 94.0]' on route-C
 [x] Sent b'[2/20/2023 12:26, 93.0]' on route-A
 [x] Sent b'[2/20/2023 12:26, 130.0]' on route-B
 [x] Sent b'[2/20/2023 12:26, 86.0]' on route-A
 [x] Sent b'[2/20/2023 12:26, 88.0]' on route-B
 [x] Sent b'[2/20/2023 12:26, 85.0]' on route-C
 [x] Sent b'[2/20/2023 12:26, 91.0]' on route-B
 [x] Sent b'[2/20/2023 12:26, 103.0]' on route-C
 [x] Sent b'[2/20/2023 12:27, 128.0]' on route-A
 [x] Sent b'[2/20/2023 12:27, 91.0]' on route-C
 [x] Sent b'[2/20/2023 12:27, 129.0]' on route-A
 [x] Sent b'[2/20/2023 12:27, 112.0]' on route-B
 [x] Sent b'[2/20/2023 12:27, 95.0]' on route-C
 [x] Sent b'[2/20/2023 12:27, 95.0]' on route-A
 [x] Sent b'[2/20/2023 12:27, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:27, 99.0]' on route-C
 [x] Sent b'[2/20/2023 12:28, 117.0]' on route-A
 [x] Sent b'[2/20/2023 12:28, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:28, 106.0]' on route-C
 [x] Sent b'[2/20/2023 12:28, 126.0]' on route-C
 [x] Sent b'[2/20/2023 12:28, 121.0]' on route-C
 [x] Sent b'[2/20/2023 12:29, 113.0]' on route-C
 [x] Sent b'[2/20/2023 12:29, 107.0]' on route-C
 [x] Sent b'[2/20/2023 12:29, 89.0]' on route-A
 [x] Sent b'[2/20/2023 12:29, 99.0]' on route-B
 [x] Sent b'[2/20/2023 12:29, 121.0]' on route-C
 [x] Sent b'[2/20/2023 12:30, 101.0]' on route-A
 [x] Sent b'[2/20/2023 12:30, 121.0]' on route-B
 [x] Sent b'[2/20/2023 12:30, 112.0]' on route-C
 [x] Sent b'[2/20/2023 12:30, 94.0]' on route-A
 [x] Sent b'[2/20/2023 12:30, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:30, 116.0]' on route-C
 [x] Sent b'[2/20/2023 12:30, 123.0]' on route-A
 [x] Sent b'[2/20/2023 12:30, 93.0]' on route-B
 [x] Sent b'[2/20/2023 12:30, 109.0]' on route-C
 [x] Sent b'[2/20/2023 12:31, 102.0]' on route-A
 [x] Sent b'[2/20/2023 12:31, 90.0]' on route-B
 [x] Sent b'[2/20/2023 12:31, 103.0]' on route-C
 [x] Sent b'[2/20/2023 12:31, 120.0]' on route-A
 [x] Sent b'[2/20/2023 12:31, 118.0]' on route-B
 [x] Sent b'[2/20/2023 12:31, 115.0]' on route-C
 [x] Sent b'[2/20/2023 12:31, 113.0]' on route-A
 [x] Sent b'[2/20/2023 12:31, 94.0]' on route-B
 [x] Sent b'[2/20/2023 12:31, 94.0]' on route-C
 [x] Sent b'[2/20/2023 12:32, 121.0]' on route-A
 [x] Sent b'[2/20/2023 12:32, 96.0]' on route-B
 [x] Sent b'[2/20/2023 12:32, 108.0]' on route-C
 [x] Sent b'[2/20/2023 12:32, 122.0]' on route-A
 [x] Sent b'[2/20/2023 12:32, 128.0]' on route-B
 [x] Sent b'[2/20/2023 12:32, 107.0]' on route-C
 [x] Sent b'[2/20/2023 12:32, 99.0]' on route-A
 [x] Sent b'[2/20/2023 12:32, 116.0]' on route-B
 [x] Sent b'[2/20/2023 12:32, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:33, 100.0]' on route-A
 [x] Sent b'[2/20/2023 12:33, 106.0]' on route-B
 [x] Sent b'[2/20/2023 12:33, 90.0]' on route-C
 [x] Sent b'[2/20/2023 12:33, 92.0]' on route-A
 [x] Sent b'[2/20/2023 12:33, 97.0]' on route-B
 [x] Sent b'[2/20/2023 12:33, 122.0]' on route-C
 [x] Sent b'[2/20/2023 12:33, 87.0]' on route-A
 [x] Sent b'[2/20/2023 12:33, 106.0]' on route-B
 [x] Sent b'[2/20/2023 12:33, 101.0]' on route-C
 [x] Sent b'[2/20/2023 12:34, 93.0]' on route-A
 [x] Sent b'[2/20/2023 12:34, 104.0]' on route-B
 [x] Sent b'[2/20/2023 12:34, 117.0]' on route-C
 [x] Sent b'[2/20/2023 12:34, 111.0]' on route-A
 [x] Sent b'[2/20/2023 12:34, 126.0]' on route-B
 [x] Sent b'[2/20/2023 12:34, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:34, 121.0]' on route-A
 [x] Sent b'[2/20/2023 12:34, 94.0]' on route-B
 [x] Sent b'[2/20/2023 12:34, 109.0]' on route-C
 [x] Sent b'[2/20/2023 12:35, 94.0]' on route-A
 [x] Sent b'[2/20/2023 12:35, 95.0]' on route-B
 [x] Sent b'[2/20/2023 12:35, 128.0]' on route-C
 [x] Sent b'[2/20/2023 12:35, 119.0]' on route-A
 [x] Sent b'[2/20/2023 12:35, 128.0]' on route-B
 [x] Sent b'[2/20/2023 12:35, 109.0]' on route-C
 [x] Sent b'[2/20/2023 12:35, 94.0]' on route-A
 [x] Sent b'[2/20/2023 12:35, 86.0]' on route-B
 [x] Sent b'[2/20/2023 12:35, 94.0]' on route-C
 [x] Sent b'[2/20/2023 12:36, 88.0]' on route-A
 [x] Sent b'[2/20/2023 12:36, 111.0]' on route-B
 [x] Sent b'[2/20/2023 12:36, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:36, 120.0]' on route-A
 [x] Sent b'[2/20/2023 12:36, 87.0]' on route-B
 [x] Sent b'[2/20/2023 12:36, 120.0]' on route-C
 [x] Sent b'[2/20/2023 12:36, 129.0]' on route-A
 [x] Sent b'[2/20/2023 12:36, 101.0]' on route-B
 [x] Sent b'[2/20/2023 12:36, 102.0]' on route-C
 [x] Sent b'[2/20/2023 12:37, 105.0]' on route-A
 [x] Sent b'[2/20/2023 12:37, 97.0]' on route-B
 [x] Sent b'[2/20/2023 12:37, 122.0]' on route-C
 [x] Sent b'[2/20/2023 12:37, 112.0]' on route-A
 [x] Sent b'[2/20/2023 12:37, 94.0]' on route-B
 [x] Sent b'[2/20/2023 12:37, 93.0]' on route-C
 [x] Sent b'[2/20/2023 12:37, 110.0]' on route-A
 [x] Sent b'[2/20/2023 12:37, 118.0]' on route-B
 [x] Sent b'[2/20/2023 12:37, 94.0]' on route-C
 [x] Sent b'[2/20/2023 12:38, 128.0]' on route-A
 [x] Sent b'[2/20/2023 12:38, 122.0]' on route-B
 [x] Sent b'[2/20/2023 12:38, 87.0]' on route-C
 [x] Sent b'[2/20/2023 12:38, 90.0]' on route-A
 [x] Sent b'[2/20/2023 12:38, 124.0]' on route-B
 [x] Sent b'[2/20/2023 12:38, 88.0]' on route-C
 [x] Sent b'[2/20/2023 12:38, 112.0]' on route-A
 [x] Sent b'[2/20/2023 12:38, 86.0]' on route-B
